x,y,neg,neu,pos,compound,episode,line
aang,roku,0.09,0.743,0.166,0.3291,7,Yeah. A waterbending teacher. But there's no one who can teach me how to be the Avatar. Monk Gyatso said that Avatar Roku would help me.
sokka,aang,0.18,0.82,0.0,-0.6072,7,The Avatar before you? He died over a hundred years ago; how are you supposed to talk to him?
zuko,iroh,0.187,0.813,0.0,-0.2677,7,Uncle! It's time to leave! Where are you? Uncle Iroh!
zuko,aang,0.057,0.838,0.105,0.2584,7,Uncle? We need to move on. We're closing in on the Avatar's trail and I don't want to lose him.
zuko,iroh,0.057,0.838,0.105,0.2584,7,Uncle? We need to move on. We're closing in on the Avatar's trail and I don't want to lose him.
iroh,zuko,0.327,0.673,0.0,-0.7775,7,"You look tired, Prince Zuko. Why don't you join me in these hot springs and soak away your troubles?"
katara,aang,0.0,0.568,0.432,0.7263,7,"[Approaches Aang.] Hey, Aang! You ready to be cheered up?"
katara,aang,0.0,0.926,0.074,0.5411,7,"These acorns are everywhere, Aang. That means the forest will grow back! Every one of these will be a tall oak tree someday, and all the birds and animals that lived here will come back. [She places the acorn in his hand and closes it.]"
aang,katara,0.0,0.256,0.744,0.4404,7,"Thanks, Katara."
kay-fon,aang,0.08,0.823,0.097,0.1862,7,"When I saw the flying bison, I thought it was impossible! [Approaches Aang.] But, those markings ... are you the Avatar, child? [Aang look to Katara, who nods. He nods himself.] My village desperately needs your help!"
kay-fon,appa,0.08,0.823,0.097,0.1862,7,"When I saw the flying bison, I thought it was impossible! [Approaches Aang.] But, those markings ... are you the Avatar, child? [Aang look to Katara, who nods. He nods himself.] My village desperately needs your help!"
kay-fon,aang,0.0,1.0,0.0,0.0,7,This young person is the Avatar!
kay-fon,aang,0.113,0.577,0.31,0.7351,7,Who better to resolve a crisis between our world and the Spirit World than the Avatar himself? You are the great bridge between man and spirits.
katara,aang,0.05,0.828,0.121,0.5256,7,"Hey great bridge guy, could I talk to you over here for a second? [She leads him toward a window.] Aang, you seem a little unsure about all of this."
katara,aang,0.0,0.538,0.462,0.8225,7,"[With a kind and reassuring smile.] I think you can do it, Aang."
earthbender captain,iroh,0.277,0.723,0.0,-0.7935,7,"He's no ordinary soldier. This is the Fire Lord's brother, the Dragon of the West. The once-great General Iroh, but now, he's our prisoner."
earthbender captain,ozai,0.277,0.723,0.0,-0.7935,7,"He's no ordinary soldier. This is the Fire Lord's brother, the Dragon of the West. The once-great General Iroh, but now, he's our prisoner."
aang,aang,0.0,0.815,0.185,0.5803,7,"[Walking toward the village entrance.] Hello, Spirit? Can you hear me? This is the Avatar speaking. I'm here to try to help stuff."
sokka,aang,0.0,1.0,0.0,0.0,7,This isn't right. We can't sit here and cower while Aang waits for some monster to show up.
aang,aang,0.205,0.609,0.185,-0.4184,7,"My name's Aang! I'm the Avatar and I would like to help. Hey, wait up! [Hei Bai wreaks havoc, smashing buildings and destroying a tower with energy.] Uhhh ..."
senlin village leader,aang,0.0,1.0,0.0,0.0,7,The Avatar's methods are ... unusual.
kay-fon,aang,0.0,0.833,0.167,0.25,7,No. Only the Avatar stands a chance against the Hei Bai.
katara,aang,0.0,0.828,0.172,0.4404,7,"Aang will figure out the right thing to do, Sokka. [Closes her eyes in satisfaction.]"
katara,sokka,0.0,0.828,0.172,0.4404,7,"Aang will figure out the right thing to do, Sokka. [Closes her eyes in satisfaction.]"
katara,sokka,0.0,1.0,0.0,0.0,7,"Sokka, wait! [Starts to follow him.]"
aang,sokka,0.0,1.0,0.0,0.0,7,"Sokka, go back!"
sokka,aang,0.394,0.606,0.0,-0.3818,7,"We'll fight him together, Aang."
katara,sokka,0.162,0.741,0.097,-0.3382,7,[Running to the village entrance.] Sokka! [The villagers go the entrance as well. Katara is left standing fearful.]
zuko,iroh,0.0,1.0,0.0,0.0,7,"Uncle! Uncle, where are you?"
zuko,iroh,0.0,0.886,0.114,0.2942,7,Land doesn't slide uphill. Those rocks didn't move naturally. [Stands up straight.] My uncle's been captured by earthbenders!
sokka,aang,0.0,0.456,0.544,0.5538,7,Aang! Over here! Help!
aang,sokka,0.0,1.0,0.0,0.0,7,"Hang on, Sokka!"
aang,sokka,0.264,0.736,0.0,-0.5562,7,Sokka! [He realizes Sokka is nowhere to be seen.] I failed.
kay-fon,aang,0.091,0.794,0.115,0.1531,7,"Your brother is in good hands. I would be shocked if the Avatar returned without him. [As he is speaking, Aang approaches.]"
aang,katara,0.365,0.635,0.0,-0.3182,7,"Katara? Katara, I lost him."
zuko,iroh,0.193,0.682,0.125,-0.296,7,"[Sniffs and gets a disgusted look.] Yeah, that's Uncle Iroh. [He re-mounts his rhino.]"
aang,appa,0.0,0.889,0.111,0.7069,7,"I'll figure this out, Katara. I promise. Like they said, I'm the bridge between the worlds, right? All I have to do is ... figure out what I have to do. But once I do that, no problem. [Appa approaches.] Appa! Hey buddy, I'm right here! [He breathes on Katara.] But, I guess you can't see me either."
aang,katara,0.0,0.889,0.111,0.7069,7,"I'll figure this out, Katara. I promise. Like they said, I'm the bridge between the worlds, right? All I have to do is ... figure out what I have to do. But once I do that, no problem. [Appa approaches.] Appa! Hey buddy, I'm right here! [He breathes on Katara.] But, I guess you can't see me either."
katara,appa,0.055,0.751,0.195,0.6179,7,"It's okay, Appa, don't worry. I'm sure they're on their way back. I bet they even found you a bunch of moon peaches for a treat. [The two return the village.]"
aang,appa,0.013,0.859,0.128,0.9597,7,"What am I supposed to do? Avatar Roku, how can I talk to you? [He turns his head in disappointment, when he hears something.] Sokka? [He notices a dragon coming toward him.] That's definitely not Sokka. [He tries to fly away but cannot. He notices his airbending is not working at all.] What? I can't airbend in the Spirit World. [The dragon lands just before him.] You don't know where Sokka is, do you? [The dragon touches him. He sees a vision of Roku flying on this dragon.] You're Avatar Roku's animal guide! Like Appa is to me! I need to save my friend and I don't know how! Is there some way for me to talk to Roku? [The dragon curls around him, and he gets on him.] I'll be back, Katara. [It gets up.] Take me to Roku! [The dragon flies away.]"
aang,aang,0.013,0.859,0.128,0.9597,7,"What am I supposed to do? Avatar Roku, how can I talk to you? [He turns his head in disappointment, when he hears something.] Sokka? [He notices a dragon coming toward him.] That's definitely not Sokka. [He tries to fly away but cannot. He notices his airbending is not working at all.] What? I can't airbend in the Spirit World. [The dragon lands just before him.] You don't know where Sokka is, do you? [The dragon touches him. He sees a vision of Roku flying on this dragon.] You're Avatar Roku's animal guide! Like Appa is to me! I need to save my friend and I don't know how! Is there some way for me to talk to Roku? [The dragon curls around him, and he gets on him.] I'll be back, Katara. [It gets up.] Take me to Roku! [The dragon flies away.]"
aang,avatar roku,0.013,0.859,0.128,0.9597,7,"What am I supposed to do? Avatar Roku, how can I talk to you? [He turns his head in disappointment, when he hears something.] Sokka? [He notices a dragon coming toward him.] That's definitely not Sokka. [He tries to fly away but cannot. He notices his airbending is not working at all.] What? I can't airbend in the Spirit World. [The dragon lands just before him.] You don't know where Sokka is, do you? [The dragon touches him. He sees a vision of Roku flying on this dragon.] You're Avatar Roku's animal guide! Like Appa is to me! I need to save my friend and I don't know how! Is there some way for me to talk to Roku? [The dragon curls around him, and he gets on him.] I'll be back, Katara. [It gets up.] Take me to Roku! [The dragon flies away.]"
aang,katara,0.013,0.859,0.128,0.9597,7,"What am I supposed to do? Avatar Roku, how can I talk to you? [He turns his head in disappointment, when he hears something.] Sokka? [He notices a dragon coming toward him.] That's definitely not Sokka. [He tries to fly away but cannot. He notices his airbending is not working at all.] What? I can't airbend in the Spirit World. [The dragon lands just before him.] You don't know where Sokka is, do you? [The dragon touches him. He sees a vision of Roku flying on this dragon.] You're Avatar Roku's animal guide! Like Appa is to me! I need to save my friend and I don't know how! Is there some way for me to talk to Roku? [The dragon curls around him, and he gets on him.] I'll be back, Katara. [It gets up.] Take me to Roku! [The dragon flies away.]"
aang,roku,0.013,0.859,0.128,0.9597,7,"What am I supposed to do? Avatar Roku, how can I talk to you? [He turns his head in disappointment, when he hears something.] Sokka? [He notices a dragon coming toward him.] That's definitely not Sokka. [He tries to fly away but cannot. He notices his airbending is not working at all.] What? I can't airbend in the Spirit World. [The dragon lands just before him.] You don't know where Sokka is, do you? [The dragon touches him. He sees a vision of Roku flying on this dragon.] You're Avatar Roku's animal guide! Like Appa is to me! I need to save my friend and I don't know how! Is there some way for me to talk to Roku? [The dragon curls around him, and he gets on him.] I'll be back, Katara. [It gets up.] Take me to Roku! [The dragon flies away.]"
aang,sokka,0.013,0.859,0.128,0.9597,7,"What am I supposed to do? Avatar Roku, how can I talk to you? [He turns his head in disappointment, when he hears something.] Sokka? [He notices a dragon coming toward him.] That's definitely not Sokka. [He tries to fly away but cannot. He notices his airbending is not working at all.] What? I can't airbend in the Spirit World. [The dragon lands just before him.] You don't know where Sokka is, do you? [The dragon touches him. He sees a vision of Roku flying on this dragon.] You're Avatar Roku's animal guide! Like Appa is to me! I need to save my friend and I don't know how! Is there some way for me to talk to Roku? [The dragon curls around him, and he gets on him.] I'll be back, Katara. [It gets up.] Take me to Roku! [The dragon flies away.]"
aang,roku,0.009,0.899,0.091,0.9353,7,"Hey, what are you doing? [He screams, but they fly right through the roof and into a mysterious room. Within is a celestial calendar and a statue of Roku.] I don't understand, this is just a statue of Roku. [Fang presses one of his feelers to Aang's forehead. A vision of a comet appears to him.] Is that what Roku wants to talk to me about? A comet? When can I talk to him? [Fang moves his head, allowing a light beam to appear. This is just to the right of Roku's statue. With another feeler press, he sees a vision of the sun setting and rising repeatedly, and the light closing in on Roku.] It's a calendar, and the light will reach Roku on the solstice! So, that's when I'll be able to speak to Roku? [The dragon breathes an apparent yes.] But I can't wait that long! I need to save Sokka now! [The dragon takes Aang from the temple.]"
aang,sokka,0.009,0.899,0.091,0.9353,7,"Hey, what are you doing? [He screams, but they fly right through the roof and into a mysterious room. Within is a celestial calendar and a statue of Roku.] I don't understand, this is just a statue of Roku. [Fang presses one of his feelers to Aang's forehead. A vision of a comet appears to him.] Is that what Roku wants to talk to me about? A comet? When can I talk to him? [Fang moves his head, allowing a light beam to appear. This is just to the right of Roku's statue. With another feeler press, he sees a vision of the sun setting and rising repeatedly, and the light closing in on Roku.] It's a calendar, and the light will reach Roku on the solstice! So, that's when I'll be able to speak to Roku? [The dragon breathes an apparent yes.] But I can't wait that long! I need to save Sokka now! [The dragon takes Aang from the temple.]"
katara,appa,0.064,0.729,0.207,0.7096,7,"It's no use, Appa. I don't seem them anywhere. Our best hope is to go back to the village and wait. [She re-directs Appa to the village's direction.]"
zuko,aang,0.0,1.0,0.0,0.0,7,The Avatar!
katara,sokka,0.0,1.0,0.0,0.0,7,You're back! [She embraces Aang.] Where's Sokka?
iroh,zuko,0.0,0.448,0.552,0.5719,7,"Excellent form, Prince Zuko."
katara,aang,0.0,1.0,0.0,0.0,7,"Aang, what are you doing?! Run!"
katara,sokka,0.0,0.667,0.333,0.7574,7,"Sokka! [She runs to him and embraces him, while other villagers embrace their loved ones.]"
senlin village leader,aang,0.0,0.857,0.143,0.3612,7,"Thank you, Avatar. If only there were a way to repay you for what you've done."
katara,sokka,0.0,1.0,0.0,0.0,7,Sokka!
katara,aang,0.0,0.816,0.184,0.5256,7,"I'm so proud of you, Aang. You figured out what to do, all on your own."
aang,roku,0.0,0.904,0.096,0.1779,7,I need to talk to Roku and I think I found a way to contact his spirit.
aang,appa,0.242,0.734,0.024,-0.9533,8,"[Strained voice.] Let's go, Appa! Come on, boy! [Appa roars in protest and sits down. Cut to a close side-view; Aang sadly addresses his pet.] Look I'm sorry, but Katara and Sokka aren't coming to the Fire Nation with us. [Frontal shot; looks down and away, sadly.] If they got hurt, I'd never forgive myself. [Cut back to the side-shot; sternly, emphasizing his command by straightening himself.] So get your big butt off the ground and let's go!"
aang,katara,0.242,0.734,0.024,-0.9533,8,"[Strained voice.] Let's go, Appa! Come on, boy! [Appa roars in protest and sits down. Cut to a close side-view; Aang sadly addresses his pet.] Look I'm sorry, but Katara and Sokka aren't coming to the Fire Nation with us. [Frontal shot; looks down and away, sadly.] If they got hurt, I'd never forgive myself. [Cut back to the side-shot; sternly, emphasizing his command by straightening himself.] So get your big butt off the ground and let's go!"
aang,sokka,0.242,0.734,0.024,-0.9533,8,"[Strained voice.] Let's go, Appa! Come on, boy! [Appa roars in protest and sits down. Cut to a close side-view; Aang sadly addresses his pet.] Look I'm sorry, but Katara and Sokka aren't coming to the Fire Nation with us. [Frontal shot; looks down and away, sadly.] If they got hurt, I'd never forgive myself. [Cut back to the side-shot; sternly, emphasizing his command by straightening himself.] So get your big butt off the ground and let's go!"
katara,aang,0.164,0.687,0.149,-0.1134,8,[Desperately.] Please don't go Aang. The world can't afford to lose you to the Fire Nation. [Closer shot of Katara's pleading face.] Neither can I.
aang,aang,0.089,0.782,0.129,0.4997,8,[Looks away sadly and recalls an image of Sozin's Comet.] But I have to talk to Avatar Roku to find out what my vision means! [Side-shot as he approaches his friends.] I need to get to the Fire Temple before the sun sets on the solstice. That's today!
aang,avatar roku,0.089,0.782,0.129,0.4997,8,[Looks away sadly and recalls an image of Sozin's Comet.] But I have to talk to Avatar Roku to find out what my vision means! [Side-shot as he approaches his friends.] I need to get to the Fire Temple before the sun sets on the solstice. That's today!
aang,roku,0.089,0.782,0.129,0.4997,8,[Looks away sadly and recalls an image of Sozin's Comet.] But I have to talk to Avatar Roku to find out what my vision means! [Side-shot as he approaches his friends.] I need to get to the Fire Temple before the sun sets on the solstice. That's today!
katara,aang,0.211,0.789,0.0,-0.34,8,"We're not letting you go into the Fire Nation, Aang."
zuko,aang,0.102,0.898,0.0,-0.4696,8,"[The Senlin Village leader gasps.] Having trouble sleeping? [Pushes the man back through the door, knocking him down. Frontal shot as he approaches him.] Seen the Avatar lately?"
iroh,zuko,0.246,0.754,0.0,-0.7339,8,"[Close-up.] Sailing into Fire Nation waters ... Of all the foolish things you've done in your sixteen years, Prince Zuko, this is the most foolish!"
zuko,iroh,0.355,0.645,0.0,-0.296,8,"I have no choice, Uncle."
iroh,ozai,0.477,0.523,0.0,-0.8736,8,[Angrily.] Have you completely forgotten that the Fire Lord banished you? [Fearfully.] What if you're caught?
zuko,aang,0.0,1.0,0.0,0.0,8,[Breaks away from telescope to talk to his uncle.] I'm chasing the Avatar! My father will understand why I am returning home!
katara,aang,0.272,0.728,0.0,-0.4574,8,[Looking back to Zuko's ship.] Aang. We've got trouble!
iroh,zuko,0.0,0.797,0.203,0.5165,8,"[Waving a fan at his face.] Uh, really Prince Zuko, couldn't you shoot them down with something more fragrant?"
katara,zuko,0.097,0.903,0.0,-0.4199,8,"[Aang, Katara, and Sokka all make faces and grasp their noses.] We have to get out of Zuko's range, before he shoots another hot stinker at us!"
sokka,appa,0.0,1.0,0.0,0.0,8,Can't you make Appa go any faster?
aang,appa,0.0,1.0,0.0,0.0,8,"Appa, yip-yip! [Appa roars readily, sailing forward even quicker.]"
iroh,aang,0.128,0.773,0.099,-0.1739,8,"Please Prince Zuko! If the Fire Nation captures you, there is nothing I can do! Do not follow the Avatar."
iroh,zuko,0.128,0.773,0.099,-0.1739,8,"Please Prince Zuko! If the Fire Nation captures you, there is nothing I can do! Do not follow the Avatar."
zuko,iroh,0.17,0.745,0.085,-0.2942,8,"[Lowers his head, closes his eyes, and clenches his hands into fists. Sorrowfully.] I'm sorry, Uncle. [Raises his head, opens his eyes, and thrusts his right hand forward commandingly.] Run the blockade!"
zhao,aang,0.112,0.784,0.104,0.2023,8,[Gazing through telescope.] The Avatar. [Lowers telescope lens to spot Zuko's ship.] And the banished prince. [Lowers telescope.] This must be my lucky day.
zhao,zuko,0.112,0.784,0.104,0.2023,8,[Gazing through telescope.] The Avatar. [Lowers telescope lens to spot Zuko's ship.] And the banished prince. [Lowers telescope.] This must be my lucky day.
zhao,appa,0.375,0.625,0.0,-0.34,8,"Shoot the bison down, captain."
aang,appa,0.0,0.872,0.128,0.2263,8,"Appa, are you okay? [Appa roars a reply. They soar higher into the clouds.]"
aang,sokka,0.272,0.728,0.0,-0.68,8,[Cries out desperately.] Sokka! [Whips the reins down and begins a speedy descent in chase of Sokka.]
zhao,zuko,0.07,0.805,0.125,0.289,8,"I'm not sure. [Turns aside, gazes at Zuko's smoking ship.] But I bet a certain banished prince will know."
aang,roku,0.0,0.883,0.117,0.5983,8,[Close-up. Momo is shown bouncing about in eager surprise.] There it is! [Sokka and Katara pop up in the saddle.] The island where Roku's dragon took me. [Full view of Crescent Island and its smoking volcano as Appa descends.]
katara,appa,0.0,0.758,0.242,0.4939,8,[Props hand off hip. Responds dryly.] I was talking to Appa.
sokka,momo,0.176,0.738,0.086,-0.4939,8,[Instantly halts exercise.] Well ... I was talking to Momo. [Points to the lemur clinging to a dead tree's branch.]
katara,aang,0.337,0.663,0.0,-0.8807,8,[Camera drops to show the group taking cover behind a lower wall below steps.] The Fire Nation must have abandoned the temple when Avatar Roku died.
katara,avatar roku,0.337,0.663,0.0,-0.8807,8,[Camera drops to show the group taking cover behind a lower wall below steps.] The Fire Nation must have abandoned the temple when Avatar Roku died.
katara,roku,0.337,0.663,0.0,-0.8807,8,[Camera drops to show the group taking cover behind a lower wall below steps.] The Fire Nation must have abandoned the temple when Avatar Roku died.
great fire sage,aang,0.082,0.918,0.0,-0.34,8,"[Turning around, they see five men standing in the hallway dressed in red with tall hats.] We are the Fire Sages. Guardians of the temple of the Avatar."
aang,aang,0.0,0.461,0.539,0.6892,8,Great! I am the Avatar!
great fire sage,aang,0.099,0.763,0.139,0.2244,8,"If the Avatar contacts Roku, there's no telling how powerful the boy will become! Split up and find him."
great fire sage,roku,0.099,0.763,0.139,0.2244,8,"If the Avatar contacts Roku, there's no telling how powerful the boy will become! Split up and find him."
shyu,aang,0.053,0.947,0.0,-0.1593,8,"[Steps toward the Avatar, before dropping to his knees and pressing his palms to the floor in submission. This startles Aang, Katara, and Sokka.] I know why you're here, Avatar."
shyu,aang,0.0,0.779,0.221,0.6597,8,Yes. [Rises from the floor to stand again.] You wish to speak to Avatar Roku. I can take you to him.
shyu,avatar roku,0.0,0.779,0.221,0.6597,8,Yes. [Rises from the floor to stand again.] You wish to speak to Avatar Roku. I can take you to him.
shyu,roku,0.0,0.779,0.221,0.6597,8,Yes. [Rises from the floor to stand again.] You wish to speak to Avatar Roku. I can take you to him.
zuko,zhao,0.0,0.898,0.102,0.3391,8,"[Close-up. Tightens knuckles on ship's railing. Smoke billows behind his ship.] What's he up to, Uncle? Why didn't Commander Zhao arrest me?"
zuko,iroh,0.0,0.898,0.102,0.3391,8,"[Close-up. Tightens knuckles on ship's railing. Smoke billows behind his ship.] What's he up to, Uncle? Why didn't Commander Zhao arrest me?"
iroh,aang,0.0,0.845,0.155,0.5106,8,Because he wants to follow you. He knows you'll lead him to the prize you're both after: the Avatar.
zuko,zhao,0.0,1.0,0.0,0.0,8,"[Close-up.] If Zhao wants to follow a trail of smoke, then that's exactly what I'll let him do."
shyu,aang,0.057,0.943,0.0,-0.2732,8,[Brief scene cut to show the sun nearly setting. Far overhead view of Shyu leading the group through caverns.] Avatar Roku once called this temple his home. He formed these secret passages out of the magma.
shyu,avatar roku,0.057,0.943,0.0,-0.2732,8,[Brief scene cut to show the sun nearly setting. Far overhead view of Shyu leading the group through caverns.] Avatar Roku once called this temple his home. He formed these secret passages out of the magma.
shyu,roku,0.057,0.943,0.0,-0.2732,8,[Brief scene cut to show the sun nearly setting. Far overhead view of Shyu leading the group through caverns.] Avatar Roku once called this temple his home. He formed these secret passages out of the magma.
aang,aang,0.0,1.0,0.0,0.0,8,Did you know Avatar Roku?
aang,avatar roku,0.0,1.0,0.0,0.0,8,Did you know Avatar Roku?
aang,roku,0.0,1.0,0.0,0.0,8,Did you know Avatar Roku?
shyu,aang,0.0,0.806,0.194,0.6239,8,"A few weeks ago, an amazing thing occurred. The statue of Avatar Roku; its eyes began to glow!"
shyu,avatar roku,0.0,0.806,0.194,0.6239,8,"A few weeks ago, an amazing thing occurred. The statue of Avatar Roku; its eyes began to glow!"
shyu,roku,0.0,0.806,0.194,0.6239,8,"A few weeks ago, an amazing thing occurred. The statue of Avatar Roku; its eyes began to glow!"
katara,aang,0.0,1.0,0.0,0.0,8,"That's when we were at the Air Temple. Avatar Roku's eyes were glowing there, too!"
katara,avatar roku,0.0,1.0,0.0,0.0,8,"That's when we were at the Air Temple. Avatar Roku's eyes were glowing there, too!"
katara,roku,0.0,1.0,0.0,0.0,8,"That's when we were at the Air Temple. Avatar Roku's eyes were glowing there, too!"
aang,aang,0.22,0.78,0.0,-0.4767,8,"If this is the Avatar's temple, why did the sages attack me?"
shyu,aang,0.098,0.789,0.113,0.128,8,"Things have changed. In the past, the sages were loyal only to the Avatar. When Roku died, the sages eagerly awaited for the next Avatar to return. But he never came."
shyu,roku,0.098,0.789,0.113,0.128,8,"Things have changed. In the past, the sages were loyal only to the Avatar. When Roku died, the sages eagerly awaited for the next Avatar to return. But he never came."
shyu,aang,0.305,0.653,0.042,-0.9524,8,"They lost hope the Avatar would ever return. When Fire Lord Sozin began the War, my grandfather and the other sages were forced to follow him. [Shakes head sadly.] I never wanted to serve the Fire Lord. When I learned you were coming, I knew I would have to betray the other sages."
shyu,ozai,0.305,0.653,0.042,-0.9524,8,"They lost hope the Avatar would ever return. When Fire Lord Sozin began the War, my grandfather and the other sages were forced to follow him. [Shakes head sadly.] I never wanted to serve the Fire Lord. When I learned you were coming, I knew I would have to betray the other sages."
shyu,sozin,0.305,0.653,0.042,-0.9524,8,"They lost hope the Avatar would ever return. When Fire Lord Sozin began the War, my grandfather and the other sages were forced to follow him. [Shakes head sadly.] I never wanted to serve the Fire Lord. When I learned you were coming, I knew I would have to betray the other sages."
shyu,aang,0.0,0.966,0.034,0.2023,8,"[Continues leading the group up a spiraling flight of stairs.] We'll follow these stairs to the sanctuary. [Time skip, Shyu continues talking as they near the top of the stairs.] Once you're inside, wait for the light to hit Avatar Roku's statue. Only then will you be able to speak with him."
shyu,avatar roku,0.0,0.966,0.034,0.2023,8,"[Continues leading the group up a spiraling flight of stairs.] We'll follow these stairs to the sanctuary. [Time skip, Shyu continues talking as they near the top of the stairs.] Once you're inside, wait for the light to hit Avatar Roku's statue. Only then will you be able to speak with him."
shyu,roku,0.0,0.966,0.034,0.2023,8,"[Continues leading the group up a spiraling flight of stairs.] We'll follow these stairs to the sanctuary. [Time skip, Shyu continues talking as they near the top of the stairs.] Once you're inside, wait for the light to hit Avatar Roku's statue. Only then will you be able to speak with him."
aang,shyu,0.437,0.563,0.0,-0.4767,8,"[Approaches door.] Shyu, what's wrong?"
shyu,aang,0.122,0.801,0.077,-0.1531,8,"No. Only a fully realized Avatar is powerful enough to open this door alone. Otherwise, the sages must open this door together, [Sokka shown in deep thought.] with five simultaneous fire blasts."
zuko,iroh,0.0,1.0,0.0,0.0,8,"Uncle, keep heading north. Zhao will follow the smoke trail, while I use it as a cover."
zuko,zhao,0.0,1.0,0.0,0.0,8,"Uncle, keep heading north. Zhao will follow the smoke trail, while I use it as a cover."
sokka,shyu,0.062,0.834,0.105,0.2908,8,"[Kneeling. Pours oil into a bag.] This is a little trick I picked up from my father. I seal the lamp oil inside an animal skin casing, Shyu lights the oil soaked twine and, [Picks up bag, holds it proudly before him.] ta-da! Fake firebending!"
katara,sokka,0.0,0.693,0.307,0.4767,8,"[Impressed.] You've really outdone yourself this time, Sokka."
katara,aang,0.103,0.752,0.145,0.2225,8,"[Presses forward. Seizes Aang's arm.] Aang! Stop! [Relaxes, releasing his arm.] There's nothing else we can do ..."
katara,sokka,0.0,0.696,0.304,0.5411,8,"[A moment passes. Sudden excitement.] Sokka, you're a genius!"
aang,sokka,0.173,0.827,0.0,-0.3182,8,[Confused.] Wait. How is Sokka a genius? His plan didn't even work.
sokka,aang,0.0,0.495,0.505,0.6249,8,[Pleasantly.] Come on Aang. Let her dream.
katara,sokka,0.0,0.772,0.228,0.5023,8,You're right. Sokka's plan didn't work. But it looks like it did.
shyu,aang,0.136,0.864,0.0,-0.4559,8,[Time skip. Fire Sages run toward Shyu in front of the door.] Come quickly! The Avatar has entered the sanctuary!
great fire sage,aang,0.0,1.0,0.0,0.0,8,"He's inside! Open the doors, immediately! Before he contacts Avatar Roku!"
great fire sage,avatar roku,0.0,1.0,0.0,0.0,8,"He's inside! Open the doors, immediately! Before he contacts Avatar Roku!"
great fire sage,roku,0.0,1.0,0.0,0.0,8,"He's inside! Open the doors, immediately! Before he contacts Avatar Roku!"
great fire sage,aang,0.144,0.856,0.0,-0.2924,8,It's the Avatar's lemur. He must have crawled through the pipes! We've been tricked!
great fire sage,momo,0.144,0.856,0.0,-0.2924,8,It's the Avatar's lemur. He must have crawled through the pipes! We've been tricked!
shyu,aang,0.0,0.796,0.204,0.5562,8,"[Grabs the last free sage and hauls him into his grip, pinning him.] Now, Aang!"
katara,aang,0.0,0.73,0.27,0.3786,8,[A moment of silence.] Aang! Now's your chance!
zuko,aang,0.042,0.776,0.181,0.8349,8,"[Steps out from behind column. Grips Aang from behind, pinning Aang's arms behind him.] The Avatar's coming with me! [The captured sages use their captors' surprise to reclaim the upper hand, pinning their captors down. Momo flies off with the Great Fire Sage's hat.] Close the doors! Quickly!"
aang,roku,0.126,0.874,0.0,-0.3182,8,[Stands. Confused.] The light hits the statue and I talk to Roku. So why isn't anything happening?
great fire sage,aang,0.1,0.9,0.0,-0.0572,8,It must have been the light. Avatar Roku doesn't want us inside.
great fire sage,avatar roku,0.1,0.9,0.0,-0.0572,8,It must have been the light. Avatar Roku doesn't want us inside.
great fire sage,roku,0.1,0.9,0.0,-0.0572,8,It must have been the light. Avatar Roku doesn't want us inside.
aang,aang,0.102,0.834,0.064,-0.3348,8,"[Exasperated. Standing in the middle of the room, facing the statue.] Why isn't anything happening? I don't know what I'm doing! All I know is airbending! Please Avatar Roku, talk to me!"
aang,avatar roku,0.102,0.834,0.064,-0.3348,8,"[Exasperated. Standing in the middle of the room, facing the statue.] Why isn't anything happening? I don't know what I'm doing! All I know is airbending! Please Avatar Roku, talk to me!"
aang,roku,0.102,0.834,0.064,-0.3348,8,"[Exasperated. Standing in the middle of the room, facing the statue.] Why isn't anything happening? I don't know what I'm doing! All I know is airbending! Please Avatar Roku, talk to me!"
roku,aang,0.0,0.81,0.19,0.7063,8,"It's good to see you Aang. What took you so long? [Aang respectfully places a fist into his palm, bowing his head to the Avatar before him.]"
zuko,aang,0.0,0.876,0.124,0.4019,8,"[Firmly to Shyu, who is kneeling before him with his hands behind his back.] Why did you help the Avatar?"
zhao,ozai,0.233,0.617,0.15,-0.4767,8,"[Claps. Interrupts interrogation. Approaches with six firebender guards.] What a moving and heartfelt performance. I'm certain the Fire Lord will understand, when you explain why you betrayed him."
great fire sage,zhao,0.0,1.0,0.0,0.0,8,[Places palms together. Bows head forward.] Commander Zhao.
zhao,ozai,0.076,0.781,0.143,0.4118,8,"And Prince Zuko. It was a noble effort, but your little smokescreen didn't work. [Zuko scowls sharply. Firebenders step behind him, seizing his arms.] Two traitors in one day, the Fire Lord will be pleased."
zhao,zuko,0.076,0.781,0.143,0.4118,8,"And Prince Zuko. It was a noble effort, but your little smokescreen didn't work. [Zuko scowls sharply. Firebenders step behind him, seizing his arms.] Two traitors in one day, the Fire Lord will be pleased."
zuko,aang,0.122,0.878,0.0,-0.3595,8,"[Strains against his captor, snaps at Zhao.] You're too late, Zhao! The Avatar's inside and the doors are sealed."
zuko,zhao,0.122,0.878,0.0,-0.3595,8,"[Strains against his captor, snaps at Zhao.] You're too late, Zhao! The Avatar's inside and the doors are sealed."
roku,aang,0.0,0.864,0.136,0.4201,8,"I have something very important to tell you, Aang. That is why, when you were in the Spirit World, I sent my dragon to find you."
